"filename", "language", "Java", "Batch", "XML", "CSS", "Groovy", "Java Properties", "comment", "blank", "total"
"/home/kotb/code/java/logiKol/app/src/main/java/Gates/XOR.java", "Java", 21, 0, 0, 0, 0, 0, 5, 12, 38
"/home/kotb/code/java/logiKol/app/src/main/java/Providers/TextureProvider.java", "Java", 44, 0, 0, 0, 0, 0, 0, 13, 57
"/home/kotb/code/java/logiKol/app/src/main/java/Providers/UIGateProvider.java", "Java", 90, 0, 0, 0, 0, 0, 0, 20, 110
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/BasicGateMultiInUI.java", "Java", 76, 0, 0, 0, 0, 0, 0, 26, 102
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/BasicGateSingleInUI.java", "Java", 71, 0, 0, 0, 0, 0, 0, 22, 93
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/BasicGateUI.java", "Java", 20, 0, 0, 0, 0, 0, 0, 11, 31
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/BufferNode.java", "Java", 61, 0, 0, 0, 0, 0, 0, 16, 77
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/IONode.java", "Java", 69, 0, 0, 0, 0, 0, 0, 22, 91
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/InNode.java", "Java", 58, 0, 0, 0, 0, 0, 0, 17, 75
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/MoveAbleUI.java", "Java", 18, 0, 0, 0, 0, 0, 0, 9, 27
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/UIObject.java", "Java", 12, 0, 0, 0, 0, 0, 0, 9, 21
"/home/kotb/code/java/logiKol/app/src/main/java/logikol/App.java", "Java", 108, 0, 0, 0, 0, 0, 25, 40, 173
"/home/kotb/code/java/logiKol/app/src/main/java/logikol/MainPane.java", "Java", 9, 0, 0, 0, 0, 0, 0, 9, 18
"/home/kotb/code/java/logiKol/app/src/main/java/logikol/ToolsPane.java", "Java", 35, 0, 0, 0, 0, 0, 0, 14, 49
"/home/kotb/code/java/logiKol/app/src/main/resources/logiKol.fxml", "XML", 0, 0, 28, 0, 0, 0, 31, 5, 64
"/home/kotb/code/java/logiKol/app/src/main/resources/style.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 0, 9
"/home/kotb/code/java/logiKol/app/src/test/java/logikol/AppTest.java", "Java", 3, 0, 0, 0, 0, 0, 3, 4, 10
"/home/kotb/code/java/logiKol/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 5, 0, 1, 6
"/home/kotb/code/java/logiKol/gradlew.bat", "Batch", 0, 70, 0, 0, 0, 0, 0, 22, 92
"/home/kotb/code/java/logiKol/settings.gradle", "Groovy", 0, 0, 0, 0, 2, 0, 8, 2, 12
"Total", "-", 2038, 70, 56, 18, 23, 5, 170, 500, 2880
