"filename", "language", "Groovy", "Java Properties", "Batch", "XML", "CSS", "Java", "comment", "blank", "total"
"/home/kotb/code/java/logiKol/app/src/main/java/Gates/NOT.java", "Java", 0, 0, 0, 0, 0, 42, 0, 18, 60
"/home/kotb/code/java/logiKol/app/src/main/java/Gates/Node.java", "Java", 0, 0, 0, 0, 0, 39, 0, 12, 51
"/home/kotb/code/java/logiKol/app/src/main/java/Gates/OR.java", "Java", 0, 0, 0, 0, 0, 53, 1, 22, 76
"/home/kotb/code/java/logiKol/app/src/main/java/Gates/XNOR.java", "Java", 0, 0, 0, 0, 0, 7, 0, 4, 11
"/home/kotb/code/java/logiKol/app/src/main/java/Gates/XOR.java", "Java", 0, 0, 0, 0, 0, 21, 5, 12, 38
"/home/kotb/code/java/logiKol/app/src/main/java/Providers/GateProvider.java", "Java", 0, 0, 0, 0, 0, 50, 0, 11, 61
"/home/kotb/code/java/logiKol/app/src/main/java/Providers/TextureProvider.java", "Java", 0, 0, 0, 0, 0, 44, 0, 13, 57
"/home/kotb/code/java/logiKol/app/src/main/java/Providers/UIGateProvider.java", "Java", 0, 0, 0, 0, 0, 90, 0, 20, 110
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/BasicGateMultiInUI.java", "Java", 0, 0, 0, 0, 0, 76, 0, 26, 102
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/BasicGateSingleInUI.java", "Java", 0, 0, 0, 0, 0, 70, 0, 19, 89
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/BasicGateUI.java", "Java", 0, 0, 0, 0, 0, 20, 0, 11, 31
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/BufferNode.java", "Java", 0, 0, 0, 0, 0, 61, 0, 15, 76
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/IONode.java", "Java", 0, 0, 0, 0, 0, 69, 0, 22, 91
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/InNode.java", "Java", 0, 0, 0, 0, 0, 58, 0, 17, 75
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/MoveAbleUI.java", "Java", 0, 0, 0, 0, 0, 18, 0, 9, 27
"/home/kotb/code/java/logiKol/app/src/main/java/UIObjects/UIObject.java", "Java", 0, 0, 0, 0, 0, 12, 0, 9, 21
"/home/kotb/code/java/logiKol/app/src/main/java/logikol/App.java", "Java", 0, 0, 0, 0, 0, 128, 25, 39, 192
"/home/kotb/code/java/logiKol/app/src/main/java/logikol/MainPane.java", "Java", 0, 0, 0, 0, 0, 9, 0, 9, 18
"/home/kotb/code/java/logiKol/app/src/main/java/logikol/ToolsPane.java", "Java", 0, 0, 0, 0, 0, 35, 0, 14, 49
"/home/kotb/code/java/logiKol/app/src/main/resources/logiKol.fxml", "XML", 0, 0, 0, 28, 0, 0, 31, 5, 64
"/home/kotb/code/java/logiKol/app/src/main/resources/style.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 0, 9
"/home/kotb/code/java/logiKol/app/src/test/java/logikol/AppTest.java", "Java", 0, 0, 0, 0, 0, 3, 3, 4, 10
"/home/kotb/code/java/logiKol/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/home/kotb/code/java/logiKol/gradlew.bat", "Batch", 0, 0, 70, 0, 0, 0, 0, 22, 92
"/home/kotb/code/java/logiKol/settings.gradle", "Groovy", 2, 0, 0, 0, 0, 0, 8, 2, 12
"Total", "-", 23, 5, 70, 56, 18, 2392, 168, 548, 3280
